ID	name	idle	walk	sit	angry	sayhi	dance	salute	clps	cry	batidle	attack	cast	behit	runto	runback	defend
NPC_二大王	二大王	50355C48	403A153E														
NPC_老马猴	老马猴	BDD0DC76	C230BE81														
NPC_唐僧	唐僧	F707EA37	FF76393B														
NPC_帮派守护兽	帮派守护兽		F70F4844						D225AEF5		D252E998	C1816D39	048CC7DD	2E8C40EC	0EC64162	4D10286A	0CC07284
NPC_地藏王	地藏王	3A11C300	32C68CC9														
NPC_生肖猴	生肖猴	AA910FFF	51FC5B28														
NPC_服装店老板	服装店老板	2EB42770	4C62D25F														
NPC_罗百万	罗百万	165AEB4C	464E819A														
NPC_老太婆	老太婆	AFA62A72	CB62E343														
NPC_管家	管家	3112FBE1	0E34A5A3														
NPC_阎罗王	阎罗王		558B14D5						09152660		A5B436EE	15F50CFF	21B6E8AA	455697FE	E5AB6916	883B1581	9402033C
NPC_酒楼老板	酒楼老板	8783CF82	AF2386A2														
NPC_捕鱼人	捕鱼人	767095C2	3792B5F3														
NPC_生肖虎	生肖虎	59D6FB3B	D7DC93DE														
NPC_至尊宝	至尊宝	EA27AD31	FB629346														
NPC_苏梦梦	苏梦梦	7555A8D0	4468668F														
NPC_珍品商人	珍品商人	D7A74DE2															
NPC_孙悟空	孙悟空		2C4D8EC8						6FF03AB0		14692807	6C1336EC	E42F3F94	5DE938BA	CCAC3F69	31B2CA29	B3A2B015
NPC_小二	小二	8F5E39E1	DD211906														
