ID	name	type	role	level	idle	walk	sit	angry	sayhi	dance	salute	clps	cry	batidle	attack	cast	behit	runto	runback	defend
飞燕女_ring_30	飞燕女_ring_30	ring	飞燕女	30	2BF6E786	637D1CB6						64DAD51C		31594AC8	5E6C0FBC	DD76CF02	06C1DA32	93010C03	8539C817	AEF4A0C3
英女侠_dbswords_30	英女侠_dbswords_30	dbswords	英女侠	30	5516FE05	6F03B3F1						4B3774CB		8F937D83	A3E6D345	3B2C0252	FC7B31A0	A36F83EF	64852879	2A79217A
舞天姬_ring_30	舞天姬_ring_30	ring	舞天姬	30	0B98FD5E	904EFD65						650CFADE		86761D6A	DAA7FA2D	F2F2BBA6	2A71A746	1E1747C9	F9ED9F7B	00953C84
舞天姬_ring_60	舞天姬_ring_60	ring	舞天姬	60	0B98FD5E	904EFD65						650CFADE		86761D6A	DAA7FA2D	F2F2BBA6	2A71A746	1E1747C9	F9ED9F7B	00953C84
飞燕女_dbswords_60	飞燕女_dbswords_60	dbswords	飞燕女	60	F212CBBB	83343540						91D8CED8		B1488E22	01205749	12A82C16	16327936	CB929F8C	649E9348	CC900644
逍遥生_fan_60	逍遥生_fan_60	fan	逍遥生	60	297D684D	F186E26E						E876D7E0		CA8EEF83	0FD9C550	A54EA4C3	175941DE	B4CCC8B9	3C3D431E	32C77CDE
剑侠客_knife_60	剑侠客_knife_60	knife	剑侠客	60	494C6456	BB949BDE						2F208C10		E901E5AF	A0B18DB3	6C8532E9	BA8BC02F	94B928E6	9111125D	F0701C55
巨魔王_axe_0	巨魔王_axe_0	axe	巨魔王	0	F5164FF2	9FBAAD0D						0901BAE0		75CA98B2	0C6A0AAF	B02E8A71	EF91014D	D96B7C58	ED74F8D8	CA6B78BA
神天兵_hammer_30	神天兵_hammer_30	hammer	神天兵	30	38C32912	FE1566C1						19D4917C		12D8DE6D	B4EDD4F2	F84AF7A2	27885331	F71C7492	8A8324A1	BA82A21C
骨精灵_claw_60	骨精灵_claw_60	claw	骨精灵	60	3A6BD287	7CDCDA3D						FDB2431F		F8522536	E27E1988	2837F291	D9305287	742745A7	441041CA	24F1606F
狐美人_whip_60	狐美人_whip_60	whip	狐美人	60	50FD2242	1718D825						C3971BB5		948ABA4D	2FE5C5EF	23B56CEF	BF590140	CBCA5A30	89D57483	1D194BE4
玄彩娥_wand_0	玄彩娥_wand_0	wand	玄彩娥	0	42D14FA3	4954C80C						33CC1679		1A04CE99	1330BDCB	CAB57EAC	1DC0095A	B55DBDE6	87928D9F	AA1F19F1
巨魔王_axe_30	巨魔王_axe_30	axe	巨魔王	30	446B12BA	3C85094B						E959DF5B		97FFD83A	0AE0FBC9	69E3A0BA	A6BA072D	405A73C1	B9DD7791	E8628FDE
玄彩娥_wand_30	玄彩娥_wand_30	wand	玄彩娥	30	5E40D203	115A8E45						B8F742F9		4E141AA1	B8C770B1	0762FE7B	2340CBBA	170E491C	87F111B3	C06E368F
英女侠_whip_60	英女侠_whip_60	whip	英女侠	60	3BCAC42B	F3F1826F						03952879		8E8E849F	A72A927C	05B2A77B	B45537E5	964DBFF9	F4F0474A	BD8C7B95
骨精灵_wand_30	骨精灵_wand_30	wand	骨精灵	30	9BE0BDFC	F9078A13						285CEE65		163D9056	CCDDBC6C	052FA8C3	5B46EE9F	D28EFB00	74D82F93	C4C9DF40
神天兵_hammer_0	神天兵_hammer_0	hammer	神天兵	0	16F53166	34ECF58B						55AF9960		C1BDDCE2	EF428937	F526FC31	C22788DB	C2DBD0A7	1AAA20B1	68901E3E
英女侠_whip_0	英女侠_whip_0	whip	英女侠	0	A22FC2E5	A8AEF3B8						6EF465BF		DA5EFB33	102B282D	903D4077	597AB27F	9026809E	D1ECB00D	5C2D10F2
玄彩娥_wand_60	玄彩娥_wand_60	wand	玄彩娥	60	5E40D203	115A8E45						B8F742F9		4E141AA1	B8C770B1	0762FE7B	2340CBBA	170E491C	87F111B3	C06E368F
巨魔王_knife_30	巨魔王_knife_30	knife	巨魔王	30	F54F61CC	C67C1E31						150187C0		4C8C0C7F	7BC815E6	FF56A136	8509A043	52F290D5	711C8005	E1CB63E5
龙太子_fan_30	龙太子_fan_30	fan	龙太子	30	1E2EAD70	F6E24EFF						C22FF943		425BD517	6C61F14D	84D9458A	CDD1B9F5	D8973E56	CC1C2A21	47D2C78D
巨魔王_knife_0	巨魔王_knife_0	knife	巨魔王	0	8EC686F9	A82465FE						572E86F3		E2FF6E31	50597842	B9817F22	C5C39E50	45515530	6CBED6D0	5F15B662
舞天姬_ribbon_60	舞天姬_ribbon_60	ribbon	舞天姬	60	35DEB132	92015297						B3E404B5		6ED204E3	56666D0D	C5132AA5	AE3DC66F	FDBD116F	701A7AB7	F7C94338
舞天姬_ribbon_30	舞天姬_ribbon_30	ribbon	舞天姬	30	35DEB132	92015297						B3E404B5		6ED204E3	56666D0D	C5132AA5	AE3DC66F	FDBD116F	701A7AB7	F7C94338
玄彩娥_ribbon_60	玄彩娥_ribbon_60	ribbon	玄彩娥	60	B25AFBB3	9D8CE9F4						0A99823C		84B40A67	3ACF708B	EFCA8E31	E33B99FB	9E74505B	08D6D117	9447B391
巨魔王_knife_60	巨魔王_knife_60	knife	巨魔王	60	F54F61CC	C67C1E31						150187C0		4C8C0C7F	7BC815E6	FF56A136	8509A043	52F290D5	711C8005	E1CB63E5
龙太子_spear_0	龙太子_spear_0	spear	龙太子	0	8EEAFA06	891E895D						6A0CC9B9		D3485670	9ED583E4	1C7570AF	2791D986	AA48FD68	9C9009E2	F7B357E4
玄彩娥_ribbon_30	玄彩娥_ribbon_30	ribbon	玄彩娥	30	B25AFBB3	9D8CE9F4						0A99823C		84B40A67	3ACF708B	EFCA8E31	E33B99FB	9E74505B	08D6D117	9447B391
英女侠_whip_30	英女侠_whip_30	whip	英女侠	30	3BCAC42B	F3F1826F						03952879		8E8E849F	A72A927C	05B2A77B	B45537E5	964DBFF9	F4F0474A	BD8C7B95
虎头怪_hammer_60	虎头怪_hammer_60	hammer	虎头怪	60	28534F72	9E4325F4						179BFBBA		F4BE8E14	7B955EC3	3DAEC472	3F3C6BEF	83FE80E6	779165FA	031372EA
狐美人_whip_0	狐美人_whip_0	whip	狐美人	0	1C6D7AF6	3C8CD8EB						2815B13B		0EB4F3A5	8E0A7548	C7879D69	1169732B	3430C16A	F83CFA1C	AB4A695F
骨精灵_wand_0	骨精灵_wand_0	wand	骨精灵	0	47B139FF	CC6586BF						FA7FD280		8FE3BEA0	222676F0	E2D1B70F	4731949D	0941A00D	6D4E8113	6630F39E
狐美人_whip_30	狐美人_whip_30	whip	狐美人	30	50FD2242	1718D825						C3971BB5		948ABA4D	2FE5C5EF	23B56CEF	BF590140	CBCA5A30	89D57483	1D194BE4
剑侠客_sword_30	剑侠客_sword_30	sword	剑侠客	30	CC5E9C79	59207938						6B3A934F		BC16BE43	07AC6964	341AA6EC	BBBAC247	219210C2	07B27AB7	4B13C413
逍遥生_sword_0	逍遥生_sword_0	sword	逍遥生	0	4E4F426E	1F5F1A06						3707D42E		057560BA	890132FA	BBB4A863	20DD305B	6D8A4155	E902350C	7C7BE729
神天兵_spear_0	神天兵_spear_0	spear	神天兵	0	2BB55863	77B8F44E						FAA82565		044EC256	1B3DA579	70141536	58199DFF	06FA3D33	8D50B13E	1F2A6CEB
飞燕女_dbswords_30	飞燕女_dbswords_30	dbswords	飞燕女	30	F212CBBB	83343540						91D8CED8		B1488E22	01205749	12A82C16	16327936	CB929F8C	649E9348	CC900644
剑侠客_sword_0	剑侠客_sword_0	sword	剑侠客	0	9298825C	29DF2153						51140EE1		1F503F23	FDB2C365	38875CCF	EA117128	20AFEA5A	B175A6F1	DEC859C9
虎头怪_hammer_30	虎头怪_hammer_30	hammer	虎头怪	30	28534F72	9E4325F4						179BFBBA		F4BE8E14	7B955EC3	3DAEC472	3F3C6BEF	83FE80E6	779165FA	031372EA
骨精灵_claw_0	骨精灵_claw_0	claw	骨精灵	0	F989095F	25966D3F						F1EE2F11		F5BA943C	BC3E962F	867A597A	8A4F6751	40199DCC	3748F6A9	2526B3EA
剑侠客_knife_0	剑侠客_knife_0	knife	剑侠客	0	0CBF0DDB	49CFC3C3						6D8CD78C		A20CEC4C	89AB1AA2	DEECDD99	9B6684AA	4EE523B0	59E7B49F	62542FAE
英女侠_dbswords_60	英女侠_dbswords_60	dbswords	英女侠	60	5516FE05	6F03B3F1						4B3774CB		8F937D83	A3E6D345	3B2C0252	FC7B31A0	A36F83EF	64852879	2A79217A
飞燕女_ring_60	飞燕女_ring_60	ring	飞燕女	60	2BF6E786	637D1CB6						64DAD51C		31594AC8	5E6C0FBC	DD76CF02	06C1DA32	93010C03	8539C817	AEF4A0C3
飞燕女_ring_0	飞燕女_ring_0	ring	飞燕女	0	33473840	2BAFE98B						4279F8D9		7D6F309A	DDBEB2FE	CBC0AAAC	99CDE46B	0A672488	605B5511	5735E6ED
龙太子_spear_30	龙太子_spear_30	spear	龙太子	30	65E21040	02FBCDFD						C8B75AF3		184DFED9	26C7D8DE	7D09B1E1	4898BCCA	602041FC	9390C290	484A9285
狐美人_claw_60	狐美人_claw_60	claw	狐美人	60	384265DC	7BB497CB						BB0D11E0		6C9A4954	C65E396A	F601D6B3	81F122C9	3915D6A9	6D81DEE8	923F9BBF
逍遥生_sword_60	逍遥生_sword_60	sword	逍遥生	60	2039C08A	8402C5C6						51233AB5		AFA10ED6	78E26E67	1EEAD699	EA37CEFE	74474E9C	EDD5D518	876AD6AF
骨精灵_wand_60	骨精灵_wand_60	wand	骨精灵	60	9BE0BDFC	F9078A13						285CEE65		163D9056	CCDDBC6C	052FA8C3	5B46EE9F	D28EFB00	74D82F93	C4C9DF40
狐美人_claw_0	狐美人_claw_0	claw	狐美人	0	DF87CD4F	5D1B5590						6AF7F563		24F4B783	4FEF1EA7	4192C3DA	AE93B28A	8E6F339A	0614BCAD	19A12B06
虎头怪_axe_60	虎头怪_axe_60	axe	虎头怪	60	5923D5C3	578771AB						F4DAF57E		2CD2C6D6	B92A33F2	022BBA4E	120F78F4	E3C6BC8F	5A5A13FD	307D1D47
虎头怪_axe_30	虎头怪_axe_30	axe	虎头怪	30	5923D5C3	578771AB						F4DAF57E		2CD2C6D6	B92A33F2	022BBA4E	120F78F4	E3C6BC8F	5A5A13FD	307D1D47
飞燕女_dbswords_0	飞燕女_dbswords_0	dbswords	飞燕女	0	93C238CA	CF591DCE						96490C40		8031F26F	41FFF0E3	AFBB95B1	AB92A2DC	39AA48DA	34BAA491	DF195D06
